--------------------------------------------------------------------------------
Marvellous Infosystem Process Logger : Sun Nov 20 22:13:55 2022 
--------------------------------------------------------------------------------
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'vms': 0.05859375}
{'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 4, 'vms': 0.22265625}
{'name': 'wininit.exe', 'username': None, 'pid': 124, 'vms': 1.5390625}
{'name': 'Registry', 'username': None, 'pid': 160, 'vms': 7.51953125}
{'name': 'MfeBrowserHost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 312, 'vms': 4.69921875}
{'name': 'services.exe', 'username': None, 'pid': 460, 'vms': 6.51171875}
{'name': 'smss.exe', 'username': None, 'pid': 556, 'vms': 1.06640625}
{'name': 'SearchHost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 820, 'vms': 165.0546875}
{'name': 'lsass.exe', 'username': None, 'pid': 828, 'vms': 10.35546875}
{'name': 'svchost.exe', 'username': None, 'pid': 912, 'vms': 4.703125}
{'name': 'csrss.exe', 'username': None, 'pid': 924, 'vms': 2.56640625}
{'name': 'SystemSettingsBroker.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 952, 'vms': 7.5234375}
{'name': 'svchost.exe', 'username': None, 'pid': 1056, 'vms': 15.5546875}
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 1068, 'vms': 1.8984375}
{'name': 'svchost.exe', 'username': None, 'pid': 1076, 'vms': 1.63671875}
{'name': 'WUDFHost.exe', 'username': None, 'pid': 1116, 'vms': 6.20703125}
{'name': 'svchost.exe', 'username': None, 'pid': 1200, 'vms': 12.203125}
{'name': 'SupportAssistAgent.exe', 'username': None, 'pid': 1216, 'vms': 512.94140625}
{'name': 'WUDFHost.exe', 'username': None, 'pid': 1220, 'vms': 6.4609375}
{'name': 'svchost.exe', 'username': None, 'pid': 1280, 'vms': 2.8984375}
{'name': 'WUDFHost.exe', 'username': None, 'pid': 1376, 'vms': 12.640625}
{'name': 'svchost.exe', 'username': None, 'pid': 1456, 'vms': 1.9921875}
{'name': 'svchost.exe', 'username': None, 'pid': 1592, 'vms': 3.11328125}
{'name': 'svchost.exe', 'username': None, 'pid': 1604, 'vms': 8.0390625}
{'name': 'svchost.exe', 'username': None, 'pid': 1684, 'vms': 2.94140625}
{'name': 'svchost.exe', 'username': None, 'pid': 1716, 'vms': 6.265625}
{'name': 'chrome.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 1744, 'vms': 2.1640625}
{'name': 'svchost.exe', 'username': None, 'pid': 1752, 'vms': 2.55859375}
{'name': 'svchost.exe', 'username': None, 'pid': 1760, 'vms': 2.3203125}
{'name': 'svchost.exe', 'username': None, 'pid': 1772, 'vms': 1.96484375}
{'name': 'svchost.exe', 'username': None, 'pid': 1948, 'vms': 3.12890625}
{'name': 'svchost.exe', 'username': None, 'pid': 1964, 'vms': 3.1328125}
{'name': 'svchost.exe', 'username': None, 'pid': 1992, 'vms': 2.9375}
{'name': 'svchost.exe', 'username': None, 'pid': 2020, 'vms': 6.40234375}
{'name': 'MemCompression', 'username': None, 'pid': 2096, 'vms': 2.9609375}
{'name': 'svchost.exe', 'username': None, 'pid': 2304, 'vms': 2.13671875}
{'name': 'svchost.exe', 'username': None, 'pid': 2312, 'vms': 3.68359375}
{'name': 'svchost.exe', 'username': None, 'pid': 2344, 'vms': 1.9375}
{'name': 'svchost.exe', 'username': None, 'pid': 2356, 'vms': 1.99609375}
{'name': 'SDXHelper.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 2388, 'vms': 11.30859375}
{'name': 'svchost.exe', 'username': None, 'pid': 2428, 'vms': 1.93359375}
{'name': 'chrome.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 2524, 'vms': 51.66015625}
{'name': 'igfxCUIServiceN.exe', 'username': None, 'pid': 2564, 'vms': 2.453125}
{'name': 'svchost.exe', 'username': None, 'pid': 2592, 'vms': 3.8828125}
{'name': 'dllhost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 2612, 'vms': 2.66796875}
{'name': 'NVDisplay.Container.exe', 'username': None, 'pid': 2792, 'vms': 7.421875}
{'name': 'SgrmBroker.exe', 'username': None, 'pid': 2824, 'vms': 6.23046875}
{'name': 'Dell.TechHub.Instrumentation.SubAgent.exe', 'username': None, 'pid': 2840, 'vms': 106.5625}
{'name': 'svchost.exe', 'username': None, 'pid': 2888, 'vms': 1.390625}
{'name': 'svchost.exe', 'username': None, 'pid': 2940, 'vms': 17.99609375}
{'name': 'svchost.exe', 'username': None, 'pid': 2976, 'vms': 1.328125}
{'name': 'svchost.exe', 'username': None, 'pid': 2980, 'vms': 3.4375}
{'name': 'svchost.exe', 'username': None, 'pid': 3044, 'vms': 12.90234375}
{'name': 'svchost.exe', 'username': None, 'pid': 3060, 'vms': 2.15625}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 3280, 'vms': 1.70703125}
{'name': 'conhost.exe', 'username': None, 'pid': 3356, 'vms': 5.6796875}
{'name': 'svchost.exe', 'username': None, 'pid': 3360, 'vms': 12.5390625}
{'name': 'WmiPrvSE.exe', 'username': None, 'pid': 3440, 'vms': 30.77734375}
{'name': 'nvcontainer.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 3556, 'vms': 38.27734375}
{'name': 'svchost.exe', 'username': None, 'pid': 3576, 'vms': 2.48046875}
{'name': 'dwm.exe', 'username': None, 'pid': 3636, 'vms': 220.515625}
{'name': 'msteams.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 3740, 'vms': 10.921875}
